,Date,Standard,Core,Supercore
199,2016-08-01,1.0553158595656864,2.3087345614186683,2.6136101280555213
200,2016-09-01,1.5486446201652182,2.271120682569183,2.543330702446722
201,2016-10-01,1.685924966243646,2.2045551507991146,2.3128013428356464
202,2016-11-01,1.6843334719788938,2.1454219398053587,2.2516552131361944
203,2016-12-01,2.0507989115119862,2.197123661300271,2.3623950404143557
204,2017-01-01,2.5103933482571117,2.2502092221020176,2.475070555032932
205,2017-02-01,2.8103616813294208,2.2353468290497336,2.64657445036538
206,2017-03-01,2.44119623655914,2.045845481938735,2.2424551087170563
207,2017-04-01,2.176223471915395,1.8965650108902388,2.0901518100428174
208,2017-05-01,1.8563431667619756,1.7370931912259246,2.0070753911187955
209,2017-06-01,1.640565809959127,1.6991193342490218,1.9473755998363096
210,2017-07-01,1.7251073506566073,1.6769627444729984,1.8585337649608569
211,2017-08-01,1.92812155729698,1.6552412618799472,1.713951087207799
212,2017-09-01,2.1805652303711787,1.5953898457655935,1.7789080250980582
213,2017-10-01,2.020757753132485,1.7596390813271245,1.8831510614655933
214,2017-11-01,2.172493864295566,1.7376072726981162,1.809821321611893
215,2017-12-01,2.129930719552253,1.770166453265043,1.816308444316328
216,2018-01-01,2.151318868063945,1.8912671130328462,1.8329645983849119
217,2018-02-01,2.263468931091861,1.87770420481439,1.941149377606033
218,2018-03-01,2.3309497646499366,2.1227843662331214,2.3372083073575523
219,2018-04-01,2.4709963021052994,2.150644636125887,2.2203107031848024
220,2018-05-01,2.781921607842497,2.272998448872432,2.228528452635792
221,2018-06-01,2.8075506935940187,2.245517307127032,2.287834098579977
222,2018-07-01,2.854124785561929,2.267595293370639,2.1688451241204776
223,2018-08-01,2.6429238568742575,2.1208941334864617,2.069596625618142
224,2018-09-01,2.332055105808828,2.1976804898501623,2.1319846090554817
225,2018-10-01,2.492032470218053,2.126409125691242,2.123571370306254
226,2018-11-01,2.147328577667773,2.2153843729315836,2.0805614136715
227,2018-12-01,2.0023809043401064,2.2485295505299874,2.3239283907187547
228,2019-01-01,1.4875893578291333,2.1794329242488475,2.015727966873304
229,2019-02-01,1.5188615351321877,2.1410889637129227,1.6058717397093414
230,2019-03-01,1.8831863513063984,2.06656235001228,1.6677815071847624
231,2019-04-01,2.000583470209061,2.0913377235709074,1.836080640733373
232,2019-05-01,1.7959105553606136,1.97242800754438,1.6602033704451458
233,2019-06-01,1.671194894390049,2.0746001344216447,1.6715518112689232
234,2019-07-01,1.826331335037068,2.1657049503490455,1.7659834275646658
235,2019-08-01,1.7376412106666406,2.321135673598529,1.9406494362408822
236,2019-09-01,1.6844977040391562,2.3300099083477743,1.9148066533977826
237,2019-10-01,1.7339736996186295,2.3378148209658223,2.221709444188047
238,2019-11-01,2.092290394862917,2.3546960942649298,2.3753860704310625
239,2019-12-01,2.3195274699624457,2.2905988164406255,2.1672455407075963
240,2020-01-01,2.599767976845202,2.2817391837892886,2.470168575897458
241,2020-02-01,2.3413166797595197,2.3676613601035346,2.5690710234467673
242,2020-03-01,1.4940399642909163,2.097741687598198,2.2487157119317702
243,2020-04-01,0.3130472940411133,1.4309324152566472,1.3115753262089358
244,2020-05-01,0.1982013035848551,1.2184564692601985,1.006691746065247
245,2020-06-01,0.7166562831830481,1.1836841884912408,1.1616381641848195
246,2020-07-01,0.9968647625897997,1.560695837131587,1.8810195984550138
247,2020-08-01,1.2810698495523853,1.7223933878284248,1.7723649685628118
